,amplified_input_pool_2_s41_r1_001,amplified_input_pool_3_s42_r1_001,male_blast_1_brain_brainstem_s59_r1_001,male_blast_1_brain_cerebellum_s58_r1_001,male_blast_1_brain_ctx_s57_r1_001,male_blast_1_liver_s61_r1_001,male_blast_1_lung_s60_r1_001,male_blast_2_brain_brainstem_s64_r1_001,male_blast_2_brain_cerebellum_s63_r1_001,male_blast_2_brain_ctx_s62_r1_001,male_blast_2_liver_s50_r1_001,male_blast_2_lung_s49_r1_001,male_blast_3_brain_brainstem_s53_r1_001,male_blast_3_brain_cerebellum_s52_r1_001,male_blast_3_brain_ctx_s51_r1_001,male_blast_3_liver_s55_r1_001,male_blast_3_lung_s54_r1_001,play_off_starting_pool_1_s43_r1_001,play_off_starting_pool_2_s44_r1_001,play_off_starting_pool_3_s45_r1_001,amplified_input_pool_1_s56_r1_001,male_ctrl_1_brain_brainstem_s26_r1_001,male_ctrl_1_brain_cerebellum_s25_r1_001,male_ctrl_1_brain_ctx_s40_r1_001,male_ctrl_1_liver_s28_r1_001,male_ctrl_1_lung_s27_r1_001,male_ctrl_2_brain_brainstem_s32_r1_001,male_ctrl_2_brain_cerebellum_s31_r1_001,male_ctrl_2_brain_ctx_s30_r1_001,male_ctrl_2_liver_s18_r1_001,male_ctrl_2_lung_s17_r1_001,male_ctrl_3_brain_brainstem_s22_r1_001,male_ctrl_3_brain_cerebellum_s21_r1_001,male_ctrl_3_brain_ctx_s20_r1_001,male_ctrl_3_liver_s24_r1_001,male_ctrl_3_lung_s23_r1_001,female_blast_2_brain_brainstem_s48_r1_001,female_blast_2_brain_cerebellum_s47_r1_001,female_blast_2_brain_ctx_s46_r1_001,female_blast_2_liver_s34_r1_001,female_blast_2_lung_s33_r1_001,female_blast_3_brain_brainstem_s37_r1_001,female_blast_3_brain_cerebellum_s36_r1_001,female_blast_3_brain_ctx_s35_r1_001,female_blast_3_liver_s39_r1_001,female_blast_3_lung_s38_r1_001,female_ctrl_2_brain_brainstem_s1_r1_001,female_ctrl_2_brain_cerebellum_s16_r1_001,female_ctrl_2_brain_ctx_s15_r1_001,female_ctrl_2_liver_s3_r1_001,female_ctrl_2_lung_s2_r1_001,female_ctrl_3_brain_brainstem_s6_r1_001,female_ctrl_3_brain_cerebellum_s5_r1_001,female_ctrl_3_brain_ctx_s4_r1_001,female_ctrl_3_liver_s8_r1_001,female_ctrl_3_lung_s7_r1_001,amp_speed_ratio,brand_name
1,111167,111786,109840,140362,144255,73336,48475,28584,26756,18833,59392,67942,99777,150581,158104,56101,85007,50962,52314,52585,108582,101407,122826,116187,59798,52543,64972,74460,89357,67420,262931,72604,54938,51244,127412,116195,129557,121346,96297,67670,155831,70035,57455,94097,122891,21213,165944,194641,185838,86983,70595,265370,38668,340048,100619,106056,2,PL2
2,55334,52794,45683,37429,32653,41304,631083,21061,16001,13823,44777,413461,15590,17877,18596,42631,270639,19940,20909,20826,53135,46009,35817,36639,41687,34906,99764,59595,47758,43864,39349,15714,16770,10574,600049,46401,45889,33213,36802,42799,608211,45677,23168,31180,486398,781891,77434,103499,52971,47738,688853,44612,656742,44368,58532,735941,3,PL3
3,42380,43910,26894,24647,22356,55468,8956,10787,11947,7635,49404,30689,22682,29761,35544,44202,15535,18641,18843,18901,46464,29679,41765,37711,41490,44365,14049,21256,18610,50988,50152,9533,13001,10474,15240,42590,30170,23636,24484,40352,10545,14411,14015,24900,23020,6671,21896,25850,29487,48483,7075,35087,9133,49737,45515,10148,2,G7
4,42234,41949,20799,15105,16810,32611,161593,9837,9749,5465,31761,110675,8550,11038,11224,24180,384710,27685,27896,27365,44023,8095,5363,7335,21903,22200,29434,23142,19585,22065,15215,38185,39292,24553,39853,20812,13457,11771,10074,23766,45532,8472,5421,9307,116306,47163,27830,43715,29640,21005,105284,11188,140474,12342,20438,21794,2,RPAR
5,38732,40891,22332,24528,20629,32403,3361,6990,5245,6659,27304,10949,17458,22586,27904,25480,6040,36533,37377,37280,38907,12871,12756,9105,26926,26253,11604,13898,11521,28156,19597,6650,10533,5190,4418,31451,26190,23592,19172,32152,4029,9660,6437,12198,7149,1813,12917,10569,17243,25618,1625,17470,2672,21207,24351,2071,1,AT1
6,38566,37345,12898,14016,11425,34303,3098,6666,7916,8412,33175,11590,11300,14933,14810,36499,8428,31983,32981,33294,35527,8356,7286,6192,33573,37790,12405,12837,16187,41355,16204,10838,15759,8951,5621,44596,20941,19362,16838,46242,5576,12712,9487,14656,6965,1870,24160,36000,20342,39089,2846,20866,3147,18730,42817,2675,1,linTT1
7,29485,29346,1357,961,791,17302,572,1974,1445,1124,20426,2450,826,666,1065,20707,2162,30768,31575,31821,29377,294,720,441,17755,19681,1290,447,501,15664,667,828,1462,1271,1438,17519,1306,2053,1451,22606,790,746,780,1565,1255,439,2342,1457,1236,20766,636,1533,452,459,18415,695,1,anti-NGAL.2
8,28874,29689,198157,219026,221505,4807,3903,6232,6501,3170,9117,3888,74929,124466,145175,5457,1775,19461,20241,20129,30476,183859,214098,197621,4582,7346,43909,75163,77599,4539,147664,7111,6004,5534,2329,4252,44620,55874,65351,4962,3927,8646,9573,17139,8179,1033,35626,60078,73519,4328,1557,123620,4166,149080,7409,1043,1,Insertless
9,26527,25436,114186,107488,114423,18503,4001,321795,307249,331378,18912,15545,253813,154399,105272,21258,9747,19623,20074,20225,24855,173183,145026,156241,22691,26903,178965,170396,155447,20963,105552,308305,296213,331576,8480,24973,93755,121506,85261,26985,2837,304002,305025,221693,9839,5810,171870,96877,143687,27545,3373,128240,3228,69125,24480,3695,1,LAMP
10,24928,24173,17221,16269,15973,24849,3099,11450,10601,11007,24436,14811,15750,20380,21730,26219,7637,19508,20264,20288,23277,18395,20529,17313,27625,24254,7334,7490,7137,26322,15833,5831,8337,9038,5484,18168,16979,16574,15564,26944,5330,7057,6589,10827,9133,3309,10936,13389,14796,23705,2580,16207,2881,15987,26615,3087,1,GX1
